solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat
1636042515805110273,Gaia EDR3 2323985539482908416,2323985539482908416,993959167,2016.0,354.1687107845069,0.01480454,-34.61130544226655,0.018033367,4.2443413404097505,0.020399962,208.05634,88.3394,87.90940150884205,0.016492756,-8.70556939175366,0.021415569,0.19953093,0.195438,-0.28828007,-0.07408393,-0.23649792,0.010470188,-0.26401398,-0.31033123,-0.16774972,0.405101,274,274,270,4,1.4242877,1149.5519,0.1393791,31.268885,31,true,1.5523224,,,,,,,,31,18,0.032637924,34,16,0,0.018583762,65.55579,0,0,1.0612174,,,,,,,,,false,261,521615.84309668734,376.54843,1385.2556,11.39399,30,279080.7687398733,438.46695,636.4921,11.724217,30,347100.65287973045,448.43146,774.0328,10.896757,0,9,0,9,0,1.2004647,0.8274603,0.33022785,0.49723244,,,0,,,,3.299763327813761,-72.33626634130006,339.7130569826341,-29.200934628352
1636042515805110273,Gaia EDR3 2359978293137038720,2359978293137038720,78785916,2016.0,5.160569252486649,0.77531636,-23.935788510105784,0.4526226,3.469879952076117,0.7095347,4.89036,14.801034,1.3515464239441457,0.73834074,-14.739197227197469,0.5535269,-0.08711069,0.29296106,0.31321076,-0.20279936,-0.2978454,-0.23274955,0.2558417,0.21045248,-0.27497163,0.101106904,196,196,190,6,270.4613,408179.88,4.621597,19876.092,95,false,,1.4686328,0.17752503,-0.5499647,0.03221788,-0.21203516,-0.10935929,0.011537683,22,14,1.090757,28,28,0,0.124425106,110.12385,64,0,33.529186,,,,,,,,,true,203,869566.5066653495,7767.6445,111.94726,10.839109,22,570554.8313936533,475.8228,1199.091,10.947799,21,665038.7167839855,181.33543,3667.4504,10.190778,0,22,0,21,0,1.4209305,0.75702095,0.10868931,0.64833164,,,0,,,,55.915234819317895,-82.35676489230224,354.6058170650631,-23.88712286183897
1636042515805110273,Gaia EDR3 2512326349403275520,2512326349403275520,1630732891,2016.0,26.632942558183125,0.068566404,2.7003834942057443,0.058521826,5.289922464930457,0.08260456,64.039116,60.9987,45.53083787359289,0.08768097,-40.59290887943266,0.079925984,0.22797664,0.36444727,0.10056953,0.101663575,-0.058077466,-0.03936736,-0.2332012,0.15549701,0.32948914,0.3360983,228,228,226,2,53.184895,8933.463,0.5978978,374.04407,31,false,1.5860199,,,,,,,,26,13,0.13647951,31,12,1,0.04235246,140.73312,46,0,4.400844,,,,,,,,,false,260,3228407.2716496103,3342.485,965.87036,9.414896,28,1862062.8191640265,1151.0753,1617.6725,9.663556,27,2046330.4906179775,919.073,2226.5156,8.970456,0,0,0,0,0,1.2106259,0.6931,0.24866009,0.4444399,-1.1086049,0.49938515,2,6250.0,4.5,0.0,149.08514810382135,-57.34698166594083,25.691714328987135,-7.752222110357064
1636042515805110273,Gaia EDR3 5245968236116294016,5245968236116294016,1718835073,2016.0,147.58006866590745,0.01569624,-66.11392739234807,0.015702013,5.943653280128668,0.01701874,349.2417,16.163528,5.910215036169328,0.018929671,-15.044234916958901,0.018963706,0.064420104,-0.123933904,-0.031287704,0.17597461,0.20844282,0.19548516,-0.009537356,0.17507486,-0.057899587,0.040775564,382,382,379,3,-5.3650637,784.95654,0.1393401,12.073564,31,true,1.6912093,,,,,,,,44,29,0.026929874,50,18,4,0.012229652,142.92398,0,0,0.8095637,,,,,,,,,true,407,1.0016622988609547E7,2499.1755,4007.971,8.185563,46,6756496.271296295,3273.722,2063.8577,8.264238,44,4933709.9520892175,1708.5453,2887.667,8.014961,0,42,0,44,0,1.1670806,0.24927711,0.07867527,0.17060184,,,0,,,,285.9762705215758,-9.401576191250713,205.704713103606,-67.70662673639211
1636042515805110273,Gaia EDR3 6186950525042445824,6186950525042445824,1652212011,2016.0,195.3597535104595,0.019605346,-27.522228200943243,0.01575635,4.650069707843102,0.023019936,202.00186,29.912638,-29.26389871913354,0.027491607,-6.195978669432467,0.017819116,-0.23456572,-0.07927027,-0.16520916,-0.1625132,0.01187335,-0.23886232,-0.11874413,-0.004275755,0.18521278,-0.42253882,338,338,328,10,7.9340115,1487.4337,0.16315809,38.40083,31,true,1.5388987,,,,,,,,38,17,0.04020188,42,24,0,0.0184052,13.709806,0,0,1.3267425,,,,,,,,,false,317,399950.66471366154,100.28799,3988.0217,11.682351,41,208085.46114214006,110.69643,1879.7848,12.042938,41,273871.0547570228,104.98504,2608.6675,11.15403,0,0,0,0,0,1.2050399,0.8889084,0.36058712,0.52832127,-1.5556889,0.4401535,5,5500.0,4.5,0.0,305.648814868683,35.29675755336624,205.03101813684214,-19.300505673233257
1636042515805110273,Gaia EDR3 1675923009431370880,1675923009431370880,624242478,2016.0,198.38856310063383,0.01054918,62.30537777748986,0.009145296,9.085383343775252,0.010974641,827.8524,68.706985,-66.96978756371941,0.013371942,-15.352430597170404,0.011142069,0.16175143,-0.072285354,-0.43682423,-0.15070203,0.04575348,-0.18708663,-0.0751971,-0.10107648,-0.21650419,0.19139674,357,357,354,3,-4.0092006,564.8882,0.05947946,4.6713424,95,false,,1.5146955,0.002682354,-0.123105794,-0.024942057,0.07943747,0.15065524,-0.13950855,41,27,0.019944921,50,50,0,0.032958817,83.21545,1,0,0.8510404,,,,,,,,,false,371,997847.0646801974,529.3781,1884.942,10.689707,39,481815.1028000775,982.8117,490.24152,11.131341,38,730475.3808661076,1038.336,703.50574,10.0888815,0,1,0,1,0,1.2149061,1.0424595,0.44163418,0.6008253,3.7943676,0.13797382,4,5250.0,4.5,0.0,118.49489239779763,54.63193027629503,153.72899107735182,60.539160841195944
1636042515805110273,Gaia EDR3 1334573817793362560,1334573817793362560,1399708336,2016.0,256.34637374627954,0.0073886127,33.01231999522879,0.008289224,6.1862524703442,0.009271734,667.2163,39.32812,-14.001717989278703,0.009461316,-36.751229819404344,0.011176405,-0.02039924,-0.15105344,0.10605094,0.12267526,0.043383826,0.04435298,-0.28290343,-0.104979925,-0.060197234,0.16266717,419,419,418,1,-0.34125564,597.96576,0.052133683,4.4232607,31,true,1.4640685,,,,,,,,48,29,0.016097033,52,20,0,7.1774574E-4,8.034177,0,0,0.98734593,,,,,,,,,false,424,214618.82763045488,39.240284,5469.3496,12.358197,45,93993.70548696766,60.792057,1546.1511,12.905795,44,170873.27810816388,85.05123,2009.063,11.66621,0,1,0,0,0,1.2341274,1.2395849,0.5475979,0.69198704,-11.834511,1.1565793,11,4750.0,4.5,0.25,55.65199176353119,35.56175764422914,249.55242199313005,55.486544235337725
1636042515805110273,Gaia EDR3 2862548428079638912,2862548428079638912,1569129488,2016.0,5.166952815807361,0.016481962,31.989972690933158,0.012185558,2.610845275642823,0.021756463,120.003204,5.748008,-4.692148155376644,0.02239132,-3.3201413700620868,0.020139277,0.22475672,0.30502394,-0.32107484,-0.09723572,-0.20496489,-0.19158605,-0.39546156,-0.038393512,0.30179217,0.28109777,359,359,354,5,1.9365094,1366.9037,0.12808418,25.727665,31,true,1.5705183,,,,,,,,42,18,0.03429213,46,20,0,0.01835995,64.29372,0,0,1.0732082,,,,,,,,,false,349,459250.87376636127,134.18597,3422.4954,11.532242,44,253890.28752694503,140.59552,1805.8206,11.826927,44,294631.4251735029,95.16078,3096.1433,11.0746975,0,0,0,0,0,1.1943836,0.7522297,0.29468536,0.45754433,-12.68081,0.9343196,10,6000.0,3.5,0.0,115.3660496690118,-30.429335654802948,18.388856963515746,27.108192329213317
1636042515805110273,Gaia EDR3 665757593450097920,665757593450097920,759967734,2016.0,127.57872099903399,0.021492535,22.235919642753675,0.014883393,2.876424053256189,0.026540833,108.377304,14.315621,-14.262371880582663,0.023472955,1.2335950523616592,0.018502103,-0.2556266,-0.23934202,-0.1458133,0.33682653,-0.16373111,0.18537155,0.084137455,0.32427007,-0.4213061,-0.35076472,319,319,313,6,2.471963,1437.1118,0.16209738,35.5616,31,true,1.5778291,,,,,,,,36,19,0.036527127,41,10,1,0.07835531,111.656784,0,0,1.1001163,,,,,,,,,false,324,502174.17564196,240.46564,2088.3406,11.435231,37,281624.1951077587,138.45773,2034.0084,11.714367,36,317594.38475835876,107.453,2955.6584,10.993214,0,0,0,0,0,1.1932485,0.72115326,0.2791357,0.44201756,48.002144,1.0198436,7,6000.0,4.5,0.0,202.13871786937133,31.13426370982868,124.4277582008756,3.17544717630413
1636042515805110273,Gaia EDR3 2100451630105041152,2100451630105041152,126857536,2016.0,286.6383904848715,0.010061636,39.48790457559991,0.010242429,4.145587012654901,0.011259291,368.19254,6.1167154,-0.30323265563178325,0.013779734,6.109194306465243,0.013173732,-0.0982751,-0.06776158,-0.060128372,0.03434588,0.04947733,0.03319038,-0.30692276,0.0019173153,-0.07449127,-0.11126962,391,391,387,4,2.6386702,1002.094,0.09185294,13.13461,31,true,1.591181,,,,,,,,44,28,0.01986746,47,19,1,0.009480057,155.37755,0,0,1.0960671,,,,,,,,,false,375,1050892.609778723,173.08766,6071.4473,10.6334715,46,601693.8015600145,344.05026,1748.8544,10.890103,44,647229.5436260385,121.178825,5341.111,10.22025,0,0,0,0,0,1.1884406,0.6698532,0.25663185,0.41322136,-7.594351,0.30453008,4,6250.0,4.5,0.0,70.34970827261914,14.164028169990415,297.44588051914707,61.35126976832243
